iter	Passed	Remaining
856	14355	2395
857	14366	2377
858	14381	2360
859	14402	2344
860	14422	2328
861	14443	2312
862	14461	2295
863	14474	2278
864	14489	2261
865	14499	2243
866	14511	2226
867	14528	2209
868	14539	2191
869	14552	2174
870	14564	2157
871	14577	2139
872	14589	2122
873	14601	2104
874	14614	2087
875	14629	2070
876	14644	2053
877	14657	2036
878	14668	2019
879	14683	2002
880	14696	1985
881	14710	1968
882	14722	1950
883	14735	1933
884	14750	1916
885	14763	1899
886	14775	1882
887	14788	1865
888	14800	1847
889	14835	1833
890	14879	1820
891	14901	1804
892	14927	1788
893	14950	1772
894	14971	1756
895	14989	1739
896	15017	1724
897	15068	1711
898	15102	1696
899	15129	1681
900	15163	1666
901	15186	1649
902	15215	1634
903	15255	1620
904	15280	1603
905	15303	1587
906	15329	1571
907	15357	1556
908	15383	1540
909	15414	1524
910	15432	1507
911	15463	1492
912	15484	1475
913	15519	1460
914	15541	1443
915	15561	1427
916	15585	1410
917	15608	1394
918	15626	1377
919	15649	1360
920	15668	1343
921	15689	1327
922	15712	1310
923	15733	1294
924	15781	1279
925	15806	1263
926	15829	1246
927	15845	1229
928	15881	1213
929	15910	1197
930	15947	1181
931	15971	1165
932	16001	1149
933	16075	1135
934	16105	1119
935	16167	1105
936	16203	1089
937	16224	1072
938	16248	1055
939	16270	1038
940	16290	1021
941	16307	1004
942	16326	986
943	16344	969
944	16363	952
945	16383	935
946	16406	918
947	16427	901
948	16442	883
949	16466	866
950	16483	849
951	16498	831
952	16515	814
953	16541	797
954	16556	780
955	16570	762
956	16585	745
957	16601	727
958	16614	710
959	16660	694
960	16676	676
961	16688	659
962	16701	641
963	16712	624
964	16724	606
965	16741	589
966	16756	571
967	16773	554
968	16789	537
969	16806	519
970	16821	502
971	16840	485
972	16857	467
973	16882	450
974	16908	433
975	16924	416
976	16940	398
977	16952	381
978	16964	363
979	16977	346
980	16987	329
981	17002	311
982	17017	294
983	17034	276
984	17045	259
985	17056	242
986	17089	225
987	17102	207
988	17112	190
989	17126	172
990	17139	155
991	17151	138
992	17164	120
993	17178	103
994	17193	86
995	17208	69
996	17225	51
997	17241	34
998	17253	17
999	17268	0
