정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7051011800,9138,팔레스호텔앞1,Palace Hotel,대구광역시,남구,봉덕3동,128.5978984,35.84168187,4,"349, 730, 남구1, 남구1-1"
7051011900,390,경일여자중학교앞,Kyungil Girls' Middle School,대구광역시,남구,봉덕3동,128.5989767,35.83742167,4,"240, 349, 남구1, 남구1-1"
7051012000,9337,경일여자중학교건너,Kyungil Girls' Middle School,대구광역시,남구,봉덕3동,128.5989861,35.8376872,4,"240, 349, 남구1, 남구1-1"
7051012100,391,미리내맨션앞,Mirinae Mansion,대구광역시,남구,봉덕3동,128.60023,35.83490667,4,"240, 349, 남구1, 남구1-1"
7051012200,2633,미리내맨션건너,Mirinae Mansion,대구광역시,남구,봉덕3동,128.60041,35.83503,4,"240, 349, 남구1, 남구1-1"
7051012300,5198,고산골입구,Gosangol,대구광역시,남구,봉덕2동,128.6024433,35.834205,3,"240, 349, 410-1"
7051012400,2255,효성타운앞,Hyosung Town,대구광역시,남구,봉덕2동,128.6035883,35.83460333,3,"240, 349, 410"
7051012500,5083,중동교1,Jungdonggyo (Bridge),대구광역시,남구,봉덕2동,128.6049817,35.841175,4,"401, 405, 564, 순환3-1"
7051012800,393,남구종합스포츠타운건너,Nam-gu Sports Complex,대구광역시,남구,봉덕3동,128.597891,35.8328195,3,"410, 남구1, 남구1-1"
7051012900,784,남구종합스포츠타운앞,Nam-gu Sports Complex,대구광역시,남구,봉덕3동,128.5977975,35.83259465,3,"410-1, 남구1, 남구1-1"
7051013000,3141,앞산공원관리사무소앞,Apsan Park Administrative Office,대구광역시,남구,대명9동,128.588795,35.82873167,3,"410, 남구1, 남구1-1"
7051013200,437,앞산태왕아너스앞,Apsan Taewang Honors,대구광역시,남구,봉덕3동,128.5952017,35.83781,1,730
7051013300,585,대덕초등학교,Daedeok Elementary School,대구광역시,남구,대명11동,128.5606117,35.83072167,1,달성2
7051013400,444,남부경찰서앞,Nambu Police Station,대구광역시,남구,대명5동,128.5859133,35.84314333,6,"410-1, 503, 564, 649, 남구1, 순환3"
7051013500,754,현충삼거리2,Hyeonchung (3) Junction,대구광역시,남구,대명9동,128.5796483,35.83417667,3,"300, 600, 750"
7051013700,398,앞산공원관리사무소건너,Apsan Park Administrative Office,대구광역시,남구,대명9동,128.588805,35.82875333,3,"410-1, 남구1, 남구1-1"
7051013800,2438,태성맨션앞,Taeseong Mansion,대구광역시,남구,봉덕3동,128.5954413,35.8397189,1,730
7051013900,1633,태성맨션건너,Taeseong Mansion,대구광역시,남구,봉덕3동,128.5953567,35.83955667,1,730
7051014200,780,골안골지하보도앞,gorangol Underpass,대구광역시,남구,대명6동,128.5705517,35.83117833,2,"410-1, 달서4-1"
7051014300,2170,팔레스호텔건너,Palace Hotel,대구광역시,남구,봉덕3동,128.5979983,35.84164,6,"240, 349, 730, 남구1, 남구1-1, 순환3"
